review_text,review_stars_val,04_category_text
"Home,  Truly was truly some exhibition never had before - the interactive stylus pen which allows you to answer societal questions that make you knock your brains and think through your heart. Admissions are free for Citizens and PR!  The ?MoreHome,  Truly was truly some exhibition never had before - the interactive stylus pen which allows you to answer societal questions that make you knock your brains and think through your heart. Admissions are free for Citizens and PR!  The physical food-for-thoughts leaflets to hang on the board goes back to the past when we had hanged them at the back of the class board    Definitely recommend!",5,National museum
I am a regular patron of the museum and it's a must for me to visit the museum during Singapore National Day. Love the architectural facade of the building,5,National museum
,5,National museum
,4,National museum
,5,National museum
,5,National museum
"If you want to read the exhibits properly,  you will need about 4 hours to go through the Singapore related exhibits. Start from the 2nd floor and go downwards. There is a teamlab exhibit too at the glass rotunda.",5,National museum
,5,National museum
,5,National museum
Nice decoration for national day,5,National museum
"The National Museum of Singapore is a museum in Singapore dedicated to the history of Singapore. It is the oldest museum in Singapore, with its history dating back to 1849, when it was started as a section of a library at Singapore Institution and called the Raffles Library and Museum",5,National museum
,4,National museum
,5,National museum
,4,National museum
Enjoyed the exhibitions and history,5,National museum
,5,National museum
Loved it! It'll take more than a say to complete all the exhibitions though so I recommend coming over a couple of days. Provided you're like me and you read literally everything there. ??,5,National museum
,5,National museum
The glass rotunda is beautiful,5,National museum
Must visit to understand Singapore history. Well designed concepts and visuals.,5,National museum
,5,National museum
A walk down memory lane being a boy and experiencing all those changes in Singapore,5,National museum
,5,National museum
A Monumental venue to visit for a good education of Singapore history,4,National museum
,5,National museum
overall it was excellent but it would be perfect at the time of my visit if there could #1 have caf‚ open #2 have the Galley 10 open or at least with a clear signboard saying it was closed #3 audio guide in place as it is a standard for all museums worldwide,4,National museum
,5,National museum
,5,National museum
Free admission for all Singaporeans.,4,National museum
Looking at the history of Singapore is enlightening and fun,4,National museum
,4,National museum
"Clean, modern and an artful place, one of my favourite places as a resident nerd. Bring your nerdy date here and enjoy the conversations. Will be back here regularly.",5,National museum
"First visit to the museum and found all displays well planned out, educational and informative, save for one poor mannered female staff. We barely sat to watch an video exhibit n she asked us to leave with no good reason.  We did not want ?MoreFirst visit to the museum and found all displays well planned out, educational and informative, save for one poor mannered female staff. We barely sat to watch an video exhibit n she asked us to leave with no good reason.  We did not want to create a scene n left. I wanted to get her name for reporting but she disappeared quickly..  My experience was ruined by this person n I wish the museum management can look into better training n impart courteousness to the staffs. After all, the museum represents Singapore.",3,National museum
"Is very good place, to see many things from last time.or l think to me is, a place for young people in Singapore to take as a experience.",5,National museum
"Great place to learn about the history and heritage of Singapore. Can get quite busy and noisy especially on weekends, public holidays and school holidays. Will be good if they can station more museum staff around to control the movement of people and stop the kids from shouting and running around.",5,National museum
,3,National museum
,5,National museum
,5,National museum
Always love museums hope to have more exhibitions soon,4,National museum
"Visited for the exhibition on Pandemic and Truly Home. A good experience to walk through the short but rich history of Singapore. Love the effort to include real life accounts and engaging locals to interviews for a perspective from their ?MoreVisited for the exhibition on Pandemic and Truly Home. A good experience to walk through the short but rich history of Singapore. Love the effort to include real life accounts and engaging locals to interviews for a perspective from their point of view. How people in different walks of life came through the tumultuous times of Singapore's past and most recently the Covid-19 pandemic. Manage to see some real artefacts  from the history, part of my growing up years and things that we won't ever go back to again. Can only reminiscence..",5,National museum
"(Translated by Google) There was a Japanese guide and I enjoyed watching it. There was a Japanese tank. ?More(Translated by Google) There was a Japanese guide and I enjoyed watching it. There was a Japanese tank.

(Original)
????????????????????????????????????",5,National museum
,5,National museum
"A good educational place for us to learn about the history of Singapore. Can see that they have put in lots of effort to make it interactive. For the kids, they are currently have Doraemon theme.",5,National museum
Lighting of National museum. Beware of $4 parking entry rate,5,National museum
,5,National museum
"The National Museum of Singapore or NMS is a must-see and must-visit for anyone who seeks a deep interest into Singapore's history from its origins to the fast-forward nation it is today. Exhibitions are well-equipped with real-life ?MoreThe National Museum of Singapore or NMS is a must-see and must-visit for anyone who seeks a deep interest into Singapore's history from its origins to the fast-forward nation it is today. Exhibitions are well-equipped with real-life replicas and preserved historical artifacts that still fascinates people today. For locals, please bring along NRIC for local admissiona rate (which is free, but, otherwise please check ahead)",5,National museum
